score,language,counter,total_counter,normalized
-0.99,en,4,159530.0,2.5073653858208488e-05
-0.98,en,31,159530.0,0.00019432081740111578
-0.97,en,61,159530.0,0.00038237322133767945
-0.96,en,67,159530.0,0.0004199837021249922
-0.95,en,90,159530.0,0.000564157211809691
-0.94,en,146,159530.0,0.0009151883658246098
-0.93,en,173,159530.0,0.0010844355293675172
-0.92,en,187,159530.0,0.0011721933178712469
-0.91,en,234,159530.0,0.0014668087507051966
-0.9,en,362,159530.0,0.0022691656741678683
-0.89,en,347,159530.0,0.0021751394721995863
-0.88,en,359,159530.0,0.0022503604337742117
-0.87,en,311,159530.0,0.00194947658747571
-0.86,en,348,159530.0,0.0021814078856641386
-0.85,en,352,159530.0,0.002206481539522347
-0.84,en,589,159530.0,0.0036920955306211996
-0.83,en,489,159530.0,0.0030652541841659875
-0.82,en,891,159530.0,0.00558515639691594
-0.81,en,1027,159530.0,0.0064376606280950295
-0.8,en,537,159530.0,0.0033661380304644893
-0.79,en,483,159530.0,0.0030276437033786747
-0.78,en,851,159530.0,0.005334419858333855
-0.77,en,648,159530.0,0.004061931925029775
-0.76,en,799,159530.0,0.005008462358177145
-0.75,en,366,159530.0,0.002294239328026077
-0.74,en,709,159530.0,0.004444305146367455
-0.73,en,572,159530.0,0.0035855325017238138
-0.72,en,376,159530.0,0.002356923462671598
-0.71,en,504,159530.0,0.0031592803861342695
-0.7,en,432,159530.0,0.002707954616686517
-0.69,en,442,159530.0,0.002770638751332038
-0.68,en,734,159530.0,0.004601015482981257
-0.67,en,470,159530.0,0.0029461543283394974
-0.66,en,493,159530.0,0.003090327838024196
-0.65,en,1601,159530.0,0.010035729956747947
-0.64,en,512,159530.0,0.0032094276938506865
-0.63,en,109,159530.0,0.0006832570676361813
-0.62,en,488,159530.0,0.0030589857707014356
-0.61,en,480,159530.0,0.0030088384629850186
-0.6,en,7235,159530.0,0.0453519714160346
-0.59,en,478,159530.0,0.0029963016360559144
-0.58,en,149,159530.0,0.0009339936062182662
-0.57,en,972,159530.0,0.006092897887544663
-0.56,en,7876,159530.0,0.04937002444681251
