score,language,counter,total_counter,normalized,language_full
-1.0,de,7,1328.0,0.005271084337349397,German
-0.9,de,58,1328.0,0.043674698795180725,German
-0.8,de,104,1328.0,0.0783132530120482,German
-0.7,de,20,1328.0,0.015060240963855422,German
-0.6,de,343,1328.0,0.2582831325301205,German
-0.5,de,2,1328.0,0.0015060240963855422,German
-0.4,de,10,1328.0,0.007530120481927711,German
-0.3,de,4,1328.0,0.0030120481927710845,German
-0.2,de,21,1328.0,0.01581325301204819,German
-0.1,de,16,1328.0,0.012048192771084338,German
0.0,de,698,1328.0,0.5256024096385542,German
0.1,de,3,1328.0,0.0022590361445783127,German
0.2,de,2,1328.0,0.0015060240963855422,German
0.3,de,2,1328.0,0.0015060240963855422,German
0.4,de,6,1328.0,0.0045180722891566254,German
0.5,de,15,1328.0,0.011295180722891566,German
0.6,de,9,1328.0,0.00677710843373494,German
0.7,de,4,1328.0,0.0030120481927710845,German
0.8,de,4,1328.0,0.0030120481927710845,German
-1.0,en,206,159530.0,0.0012912931736977374,English
-0.9,en,2651,159530.0,0.016617564094527675,English
-0.8,en,6815,159530.0,0.04271923776092272,English
-0.7,en,4897,159530.0,0.030696420735911736,English
-0.6,en,19859,159530.0,0.1244844229925406,English
-0.5,en,5293,159530.0,0.033178712467874384,English
-0.4,en,5212,159530.0,0.03267097097724566,English
-0.3,en,3949,159530.0,0.02475396477151633,English
-0.2,en,4068,159530.0,0.02549990597379803,English
-0.1,en,3331,159530.0,0.02088008525042312,English
0.0,en,36735,159530.0,0.2302701686203222,English
0.1,en,2865,159530.0,0.01795900457594183,English
0.2,en,4080,159530.0,0.025575126935372658,English
0.3,en,4333,159530.0,0.027161035541904344,English
0.4,en,7167,159530.0,0.04492571930044506,English
0.5,en,13802,159530.0,0.08651664263774839,English
0.6,en,8563,159530.0,0.05367642449695982,English
0.7,en,6903,159530.0,0.043270858145803295,English
0.8,en,8821,159530.0,0.05529367517081426,English
0.9,en,8516,159530.0,0.05338180906412587,English
